ticker,event_date,momentum_pct,deleted_dir
AMPX,2025-01-10,36.63,data/filtered/AMPX_None_36.63
AMPX,2025-03-21,34.63,data/filtered/AMPX_None_34.63
AMRC,2025-05-06,34.09,data/filtered/AMRC_None_34.09
AMRC,2025-08-05,50.12,data/filtered/AMRC_None_50.12
AMRN,2025-06-24,36.35,data/filtered/AMRN_None_36.35
AMSC,2025-02-06,38.87,data/filtered/AMSC_None_38.87
AMSC,2025-07-31,31.67,data/filtered/AMSC_None_31.67
AMST,2025-02-27,81.59,data/filtered/AMST_None_81.59
AMST,2025-05-16,81.70,data/filtered/AMST_None_81.70
AMST,2025-09-11,78.36,data/filtered/AMST_None_78.36
AMTD,2025-10-31,58.65,data/filtered/AMTD_None_58.65
AMUU,2025-04-09,49.16,data/filtered/AMUU_None_49.16
AMUU,2025-10-06,75.13,data/filtered/AMUU_None_75.13
ANAB,2025-02-12,34.46,data/filtered/ANAB_None_34.46
ANAB,2025-09-30,39.66,data/filtered/ANAB_None_39.66
ANEB,2025-03-10,31.78,data/filtered/ANEB_None_31.78
ANEB,2025-03-11,51.79,data/filtered/ANEB_None_51.79
ANEB,2025-07-01,50.69,data/filtered/ANEB_None_50.69
ANEB,2025-07-02,40.57,data/filtered/ANEB_None_40.57
ANEB,2025-07-23,86.89,data/filtered/ANEB_None_86.89
ANF,2025-05-28,36.09,data/filtered/ANF_None_36.09
ANGH,2025-07-14,35.14,data/filtered/ANGH_None_35.14
ANGH,2025-07-28,56.49,data/filtered/ANGH_None_56.49
ANGI,2025-05-07,38.56,data/filtered/ANGI_None_38.56
ANGO,2025-01-08,39.67,data/filtered/ANGO_None_39.67
ANGX,2025-09-12,38.31,data/filtered/ANGX_None_38.31
ANGX,2025-09-15,42.53,data/filtered/ANGX_None_42.53
ANGX,2025-09-29,44.70,data/filtered/ANGX_None_44.70
ANGX,2025-10-01,40.45,data/filtered/ANGX_None_40.45
ANNA,2025-01-10,50.29,data/filtered/ANNA_None_50.29
ANNA,2025-03-20,39.14,data/filtered/ANNA_None_39.14
ANNA,2025-04-16,38.72,data/filtered/ANNA_None_38.72
ANNX,2025-03-17,35.00,data/filtered/ANNX_None_35.00
ANPA,2025-07-09,321.31,data/filtered/ANPA_None_321.31
ANPA,2025-07-15,135.53,data/filtered/ANPA_None_135.53
ANPA,2025-07-17,35.32,data/filtered/ANPA_None_35.32
ANPA,2025-07-18,57.03,data/filtered/ANPA_None_57.03
ANPA,2025-07-21,40.59,data/filtered/ANPA_None_40.59
ANPA,2025-07-23,80.68,data/filtered/ANPA_None_80.68
ANPA,2025-07-24,34.94,data/filtered/ANPA_None_34.94
ANPA,2025-07-29,49.05,data/filtered/ANPA_None_49.05
ANRO,2025-10-03,91.84,data/filtered/ANRO_None_91.84
ANRO,2025-10-20,100.49,data/filtered/ANRO_None_100.49
ANVS,2025-04-21,40.02,data/filtered/ANVS_None_40.02
ANVS,2025-06-04,33.33,data/filtered/ANVS_None_33.33
APED,2025-04-09,44.20,data/filtered/APED_None_44.20
APEI,2025-03-07,32.99,data/filtered/APEI_None_32.99
APLD,2025-06-02,54.32,data/filtered/APLD_None_54.32
APLD,2025-06-04,31.41,data/filtered/APLD_None_31.41
APLD,2025-07-31,40.18,data/filtered/APLD_None_40.18
APLD,2025-10-10,33.39,data/filtered/APLD_None_33.39
APLM,2025-03-20,41.21,data/filtered/APLM_None_41.21
APLM,2025-05-21,34.08,data/filtered/APLM_None_34.08
APLM,2025-07-21,31.72,data/filtered/APLM_None_31.72
APLM,2025-09-04,36.04,data/filtered/APLM_None_36.04
APLM,2025-09-15,45.68,data/filtered/APLM_None_45.68
APLM,2025-09-16,34.55,data/filtered/APLM_None_34.55
APLM,2025-09-17,72.25,data/filtered/APLM_None_72.25
APLM,2025-10-15,128.50,data/filtered/APLM_None_128.50
APLM,2025-10-16,78.97,data/filtered/APLM_None_78.97
APLM,2025-10-31,49.01,data/filtered/APLM_None_49.01
APLT,2025-09-26,135.63,data/filtered/APLT_None_135.63
APM,2025-02-10,47.54,data/filtered/APM_None_47.54
