ticker,event_date,momentum_pct,filtered_dirname,expected_quote_data_file,found_in_quote_data
AMOD,2025-01-17,41.24,AMOD_2025-01-17_41.24,AMOD_quotes_2025_01_17.parquet,True
AMOD,2025-01-30,259.73,AMOD_2025-01-30_259.73,AMOD_quotes_2025_01_30.parquet,True
AMOD,2025-02-13,227.17,AMOD_2025-02-13_227.17,AMOD_quotes_2025_02_13.parquet,True
AMOD,2025-03-12,32.59,AMOD_2025-03-12_32.59,AMOD_quotes_2025_03_12.parquet,True
AMOD,2025-07-23,124.14,AMOD_2025-07-23_124.14,AMOD_quotes_2025_07_23.parquet,True
AMPGW,2025-01-03,57.17,AMPGW_2025-01-03_57.17,AMPGW_quotes_2025_01_03.parquet,True
AMPGW,2025-01-06,79.27,AMPGW_2025-01-06_79.27,AMPGW_quotes_2025_01_06.parquet,True
AMPGW,2025-01-10,89.29,AMPGW_2025-01-10_89.29,AMPGW_quotes_2025_01_10.parquet,True
AMPGW,2025-01-14,36.49,AMPGW_2025-01-14_36.49,AMPGW_quotes_2025_01_14.parquet,True
AMPGW,2025-01-31,159.67,AMPGW_2025-01-31_159.67,AMPGW_quotes_2025_01_31.parquet,True
AMPGW,2025-02-04,55.56,AMPGW_2025-02-04_55.56,AMPGW_quotes_2025_02_04.parquet,True
AMPX,2025-01-10,36.63,AMPX_2025-01-10_36.63,AMPX_quotes_2025_01_10.parquet,True
AMPX,2025-03-21,34.63,AMPX_2025-03-21_34.63,AMPX_quotes_2025_03_21.parquet,True
AMRC,2025-05-06,34.09,AMRC_2025-05-06_34.09,AMRC_quotes_2025_05_06.parquet,True
AMRC,2025-08-05,50.12,AMRC_2025-08-05_50.12,AMRC_quotes_2025_08_05.parquet,True
AMRN,2025-06-24,36.35,AMRN_2025-06-24_36.35,AMRN_quotes_2025_06_24.parquet,True
AMSC,2025-02-06,38.87,AMSC_2025-02-06_38.87,AMSC_quotes_2025_02_06.parquet,True
AMSC,2025-07-31,31.67,AMSC_2025-07-31_31.67,AMSC_quotes_2025_07_31.parquet,True
AMST,2025-02-27,81.59,AMST_2025-02-27_81.59,AMST_quotes_2025_02_27.parquet,True
AMST,2025-05-16,81.70,AMST_2025-05-16_81.70,AMST_quotes_2025_05_16.parquet,True
AMST,2025-09-11,78.36,AMST_2025-09-11_78.36,AMST_quotes_2025_09_11.parquet,True
AMTD,2025-10-31,58.65,AMTD_2025-10-31_58.65,AMTD_quotes_2025_10_31.parquet,True
AMUU,2025-04-09,49.16,AMUU_2025-04-09_49.16,AMUU_quotes_2025_04_09.parquet,True
AMUU,2025-10-06,75.13,AMUU_2025-10-06_75.13,AMUU_quotes_2025_10_06.parquet,True
ANAB,2025-02-12,34.46,ANAB_2025-02-12_34.46,ANAB_quotes_2025_02_12.parquet,True
ANAB,2025-09-30,39.66,ANAB_2025-09-30_39.66,ANAB_quotes_2025_09_30.parquet,True
ANEB,2025-03-10,31.78,ANEB_2025-03-10_31.78,ANEB_quotes_2025_03_10.parquet,True
ANEB,2025-03-11,51.79,ANEB_2025-03-11_51.79,ANEB_quotes_2025_03_11.parquet,True
ANEB,2025-07-01,50.69,ANEB_2025-07-01_50.69,ANEB_quotes_2025_07_01.parquet,True
ANEB,2025-07-02,40.57,ANEB_2025-07-02_40.57,ANEB_quotes_2025_07_02.parquet,True
ANEB,2025-07-23,86.89,ANEB_2025-07-23_86.89,ANEB_quotes_2025_07_23.parquet,True
ANF,2025-05-28,36.09,ANF_2025-05-28_36.09,ANF_quotes_2025_05_28.parquet,True
ANGH,2025-07-14,35.14,ANGH_2025-07-14_35.14,ANGH_quotes_2025_07_14.parquet,True
ANGH,2025-07-28,56.49,ANGH_2025-07-28_56.49,ANGH_quotes_2025_07_28.parquet,True
ANGI,2025-05-07,38.56,ANGI_2025-05-07_38.56,ANGI_quotes_2025_05_07.parquet,True
ANGO,2025-01-08,39.67,ANGO_2025-01-08_39.67,ANGO_quotes_2025_01_08.parquet,True
