ticker,date,size_bytes,mtime
BBLGW,2022-06-16,11811,1763801923.872195
BBLGW,2022-09-29,11093,1763801924.948759
BBLGW,2022-11-18,10916,1763801926.0257986
BBLGW,2022-11-28,10943,1763801927.0881562
BBLGW,2022-12-12,15333,1763801928.1807833
BBLGW,2022-12-15,10496,1763801929.2436836
BBLGW,2022-12-23,10868,1763801930.3306103
BBLGW,2023-01-03,10577,1763801931.3925185
BBLGW,2023-01-19,11147,1763801932.4581165
BBLGW,2023-01-25,10747,1763801933.5509038
BBLGW,2023-02-01,10564,1763801934.647347
BBLGW,2023-03-06,10929,1763801935.760012
BBLGW,2023-04-11,10689,1763801936.8173213
BBLGW,2023-06-21,13223,1763801937.9478211
BBLGW,2023-06-22,14393,1763801939.0260515
BBLGW,2023-06-23,16156,1763801940.1018069
BBLGW,2023-07-07,16254,1763801941.1829925
BBLGW,2023-08-21,12171,1763801942.260309
BBLGW,2023-08-28,15657,1763801943.3275578
BBLGW,2023-09-11,18871,1763801944.444739
BBLGW,2023-09-15,30899,1763801945.5792675
BBLGW,2023-09-20,26442,1763801946.6681783
BBLGW,2023-09-25,13397,1763801947.7378416
BBLGW,2023-09-26,14308,1763801948.8332212
BBLGW,2023-09-28,22998,1763801949.927502
BBLGW,2023-10-31,16922,1763801951.0111666
BBLGW,2023-11-07,11781,1763801952.0736268
BBLGW,2023-11-08,15123,1763801953.1467104
BBLGW,2023-12-18,14437,1763801955.2310843
BBLGW,2023-12-19,25369,1763801956.3150635
BBLGW,2023-12-21,23502,1763801957.4092834
BBLGW,2023-12-28,42723,1763801958.512097
BBLGW,2024-01-05,15480,1763801959.599859
BBLGW,2024-01-09,23008,1763801960.7077248
BBLGW,2024-01-16,14213,1763801962.1389484
BBLGW,2024-01-22,13491,1763801963.2139156
BBLGW,2024-01-31,22674,1763801965.3183491
BBLGW,2024-02-26,14283,1763801966.3894658
BBLGW,2024-03-04,14856,1763801967.4906707
BBLGW,2024-03-05,15082,1763801968.5927927
BBLGW,2024-04-09,14140,1763801969.7397807
BBLGW,2024-04-18,14245,1763801970.860159
BBLGW,2024-05-15,21794,1763801971.9494538
BBLGW,2024-07-09,10698,1763801973.045987
BBLGW,2024-10-21,20155,1763801974.329579
BBLGW,2024-12-31,13205,1763801975.502691
BBW,2020-04-20,465257,1763801977.2368376
BBW,2020-10-30,265468,1763801978.7016006
BBW,2021-01-27,2645857,1763801982.6137025
BBW,2021-01-29,3997482,1763801987.912938
BBW,2021-05-26,1926862,1763801991.6789865
BBW,2021-12-01,2212006,1763801995.6971068
BCAB,2020-12-17,1805428,1763801999.068225
BCAB,2022-08-10,5052847,1763802007.8813488
BCAB,2022-08-11,7398669,1763802020.9383914
BCAB,2022-08-16,2775394,1763802024.9780588
BCAB,2022-11-04,4174261,1763802029.177643
BCAB,2023-12-27,466442,1763802030.6990938
BCAB,2024-05-01,1313730,1763802032.7588868
BCAB,2024-10-01,1740442,1763802035.0046327
BCAB,2024-10-02,2808156,1763802037.8659196
BCAB,2024-11-22,449917,1763802039.372269
BCDA,2020-01-13,233561,1763802040.6478279
BCDA,2020-03-19,17124,1763802041.7565672
BCDA,2020-03-24,14814,1763802042.8738382
BCDA,2020-04-28,92751,1763802044.0122223
BCDA,2020-06-24,799912,1763802045.6291258
BCDA,2020-12-10,162654,1763802046.8584473
BCDA,2020-12-14,14716754,1763802063.4139197
BCDA,2020-12-15,27792234,1763802100.0574274
BCDA,2022-01-31,76619,1763802101.41304
BCDA,2022-02-03,7208009,1763802106.1482055
BCDA,2022-04-12,5809846,1763802110.0207484
BCDA,2023-10-11,169697,1763802111.266147
BCDA,2023-11-14,15677832,1763802120.2485416
BCDA,2024-08-29,13396218,1763802129.1032393
BCG,2024-03-28,764387,1763802130.72584
BCG,2024-04-08,60307,1763802131.8978958
BCG,2024-05-22,954965,1763802133.8227222
BCG,2024-05-23,7365363,1763802141.4079928
BCG,2024-08-13,52036,1763802142.5496707
BCG,2024-08-14,469908,1763802143.8698187
BCG,2024-11-11,8733991,1763802149.4219322
BCG,2024-11-12,9209958,1763802154.5687695
BCG,2024-12-06,121222,1763802155.8887117
BCG,2024-12-26,3391144,1763802159.254297
BCML,2020-03-19,73955,1763802160.495147
BCO,2020-07-29,2046458,1763802162.7321398
BCRX,2020-03-19,2714321,1763802165.7092943
BCRX,2020-04-13,3581195,1763802170.1425588
BCRX,2021-02-01,8731298,1763802180.6751823
BCSF,2020-03-24,513451,1763802182.2814493
BCSF,2020-03-26,366080,1763802183.8004613
BCTX,2021-06-02,26649435,1763802201.4564357
BCTX,2021-07-09,1549142,1763802203.3114088
BCTX,2024-09-11,18442771,1763802214.8009117
BCTX,2024-09-27,585996,1763802216.3253467
BCTX,2024-09-30,1114504,1763802217.9555178
BCTX,2024-11-21,523130,1763802219.2760773
BCTX,2024-12-09,341427,1763802220.6875865
BCTXW,2021-03-01,25010,1763802221.8249457
BCTXW,2021-04-07,31857,1763802222.9309824
BCTXW,2021-05-05,17836,1763802224.0500026
BCTXW,2021-06-02,280839,1763802225.3565161
BCTXW,2021-06-03,348534,1763802226.6679306
BCTXW,2021-06-16,82072,1763802227.8948205
BCTXW,2021-06-28,46463,1763802229.1839557
BCTXW,2021-09-22,128606,1763802230.372392
BCTXW,2021-09-23,182117,1763802231.634076
BCTXW,2021-09-24,134088,1763802232.8102176
BCTXW,2021-12-01,133329,1763802234.0299666
BCTXW,2023-11-03,16012,1763802235.2687695
BCTXW,2023-11-24,13204,1763802236.331031
BCTXW,2023-12-20,15735,1763802237.4087346
BCTXW,2023-12-27,17508,1763802238.4964583
BCTXW,2024-02-06,50597,1763802239.7230408
BCTXW,2024-02-14,15839,1763802240.8552802
BCYC,2021-01-14,652534,1763802242.8880053
BCYC,2022-04-08,2060429,1763802247.1705384
BCYC,2024-09-09,568267,1763802249.3519125
