dest_dir,status,detail
ARBKL_2025-07-14_38.16,good,925
ARBKL_2025-08-15_39.16,good,272
ARCT_2025-08-12_36.08,good,26675
ARCT_2025-08-13_31.43,good,26894
ARDX_2025-10-31_34.33,good,92712
AREB_2025-01-07_86.29,good,23992
AREB_2025-03-12_60.91,good,203465
AREB_2025-03-19_46.95,good,13141
AREB_2025-03-26_45.00,good,44929
AREB_2025-04-01_54.48,good,8812
AREB_2025-04-02_495.07,good,480321
AREB_2025-04-10_122.22,good,263045
AREB_2025-04-11_44.41,good,76388
AREB_2025-04-14_52.17,good,104391
AREB_2025-04-23_79.63,good,353189
AREB_2025-04-24_56.03,good,377945
AREB_2025-05-06_39.93,good,172558
AREB_2025-09-23_68.26,good,78686
AREB_2025-09-26_50.49,good,33699
AREB_2025-10-08_91.59,good,86682
AREB_2025-10-22_84.80,good,285425
AREB_2025-10-23_75.81,good,319022
AREC_2025-04-16_106.58,good,96934
AREC_2025-04-17_51.35,good,161134
AREC_2025-07-10_31.61,good,9874
AREC_2025-10-14_42.77,good,187406
ARHS_2025-08-07_31.51,good,51803
ARMG_2025-01-22_35.83,good,1252
ARMG_2025-04-09_51.01,good,778
ARQQ_2025-01-15_40.78,good,17182
ARQQ_2025-01-16_54.40,good,52734
ARQQ_2025-03-17_59.27,good,33833
ARQQ_2025-05-19_34.14,good,32448
ARQQ_2025-05-27_31.02,good,39157
ARQQW_2025-03-07_33.52,good,163
ARQQW_2025-03-14_30.43,good,335
ARQQW_2025-03-17_47.83,good,670
ARQQW_2025-03-31_50.86,good,232
ARQQW_2025-04-22_44.30,good,412
ARQQW_2025-09-19_125.68,good,2103
ARQQW_2025-09-22_99.00,good,3422
ARQQW_2025-09-24_41.38,good,1395
ARQQW_2025-09-29_52.50,good,501
ARQQW_2025-10-02_30.27,good,1100
ARQQW_2025-10-03_43.16,good,2585
ARQT_2025-10-28_31.11,good,115517
ARTL_2025-04-14_70.34,good,77595
ARTL_2025-06-30_276.73,good,411115
ARTL_2025-07-02_39.14,good,6391
ARTL_2025-07-07_134.03,good,166704
ARTL_2025-07-08_32.68,good,5658
ARTL_2025-07-09_40.88,good,18019
ARTL_2025-07-10_32.41,good,6241
ARTV_2025-04-07_102.87,good,52841
ARTV_2025-10-17_165.70,good,863324
ASMG_2025-04-09_31.38,good,287
ASNS_2025-03-18_58.38,good,9877
ASNS_2025-09-02_73.45,good,209927
ASNS_2025-10-03_110.81,good,585436
ASNS_2025-10-07_31.42,good,26990
ASPI_2025-10-13_33.17,good,147248
ASPS_2025-01-08_35.69,good,1961
ASPS_2025-04-03_152.79,good,1383
ASST_2025-01-21_212.16,good,643787
ASST_2025-01-22_88.89,good,389816
ASST_2025-05-07_459.02,good,1009243
ASST_2025-05-08_159.59,good,1317067
ASST_2025-05-15_48.30,good,130315
ASST_2025-05-21_40.83,good,358545
ASST_2025-05-22_66.92,good,276161
ASST_2025-07-07_144.73,good,447764
ASST_2025-08-11_33.74,good,18908
ASST_2025-09-10_100.64,good,390009
ASST_2025-10-24_38.86,good,301710
ASST_2025-10-27_64.55,good,1297166
ASTC_2025-10-03_66.53,good,278644
ASTH_2025-08-08_38.68,good,28814
ASTI_2025-06-26_218.45,good,494927
ASTI_2025-06-27_35.92,good,66214
ASTLW_2025-02-18_31.15,good,14
ATAI_2025-07-01_32.19,good,199754
ATEC_2025-08-01_31.29,good,96790
ATER_2025-02-04_31.93,good,2471
ATER_2025-03-19_65.88,good,232272
ATEX_2025-02-11_39.27,good,15392
ATGL_2025-02-11_52.00,good,2013
ATGL_2025-02-19_87.93,good,10157
ATGL_2025-03-07_44.86,good,1404
ATGL_2025-03-18_48.04,good,2529
ATGL_2025-08-20_81.04,good,6280
ATGL_2025-08-25_35.92,good,650
ATHE_2025-01-30_101.72,good,200163
ATHE_2025-05-05_45.35,good,7661
ATHE_2025-07-11_41.65,good,5096
ATHR_2025-05-21_39.03,good,3005
ATHR_2025-07-24_60.60,good,21732
ATLN_2025-01-06_30.59,good,1109
ATLN_2025-03-03_84.83,good,5741
ATLN_2025-03-04_40.12,good,1466
ATLN_2025-03-10_38.10,good,885
ATLN_2025-08-08_30.46,good,667
ATLN_2025-08-12_30.90,good,538
ATLN_2025-08-15_41.51,good,7791
ATLX_2025-08-04_32.26,good,11346
ATMV_2025-09-08_99.92,good,607
ATMV_2025-09-10_32.74,good,540
ATMV_2025-09-11_42.17,good,515
ATMV_2025-09-19_177.96,good,56999
ATMV_2025-10-21_91.95,good,99864
ATMVU_2025-09-08_48.23,good,5
ATMVU_2025-09-18_33.87,good,290
ATMVU_2025-09-19_152.20,good,1137
ATON_2025-09-08_37.13,good,3722
ATON_2025-10-08_147.31,good,540276
ATPC_2025-01-13_132.54,good,486662
ATPC_2025-01-23_32.18,good,4943
ATPC_2025-02-24_142.52,good,325673
ATPC_2025-04-03_67.44,good,141888
ATPC_2025-04-07_40.98,good,10450
ATPC_2025-05-16_36.67,good,2271
ATXG_2025-04-29_41.94,good,781
ATXG_2025-05-15_158.87,good,118673
ATXG_2025-07-02_53.47,good,106130
ATXG_2025-09-22_57.10,good,19653
ATXS_2025-10-14_43.68,good,165291
ATYR_2025-07-23_35.50,good,96747
AUID_2025-03-20_35.96,good,2094
AUID_2025-04-02_30.23,good,5364
AUID_2025-09-26_30.01,good,7651
AUR_2025-01-07_51.23,good,466220
AUROW_2025-01-07_145.95,good,5069
AUROW_2025-02-13_106.09,good,2697
AUROW_2025-03-03_30.92,good,95
AUROW_2025-05-02_35.71,good,534
AUUD_2025-02-19_94.21,good,145971
AUUD_2025-04-04_39.65,good,1537
AUUD_2025-04-08_31.78,good,1578
AUUD_2025-04-21_54.52,good,9826
AUUD_2025-06-27_61.64,good,6293
AUUD_2025-08-05_32.21,good,179673
AUUD_2025-08-11_42.64,good,256467
AUUD_2025-08-20_41.10,good,320365
AVAH_2025-03-13_43.05,good,24898
AVAH_2025-08-07_59.38,good,86291
AVGG_2025-09-05_32.02,good,2642
AVGU_2025-09-05_33.39,good,1521
AVGX_2025-04-09_39.49,good,9988
AVGX_2025-09-05_32.86,good,31798
AVL_2025-04-09_39.81,good,7685
AVL_2025-09-05_32.82,good,18084
AVNW_2025-02-05_30.56,good,16606
AVR_2025-04-23_30.48,good,4207
AVR_2025-05-27_34.34,good,3454
AVTX_2025-02-24_33.06,good,2739
AVTX_2025-09-29_30.28,good,31591
AXTI_2025-06-12_36.36,good,25209
AXTI_2025-10-31_34.43,good,53656
AYTU_2025-05-15_100.00,good,300514
AYTU_2025-06-06_52.30,good,26256
AZI_2025-04-29_32.69,good,1219
BACQR_2025-10-08_33.33,good,874
BACQR_2025-10-23_100.00,good,5708
BAER_2025-01-08_37.20,good,22110
BAER_2025-01-10_58.96,good,304466
BAIG_2025-09-16_36.26,good,5312
BAIG_2025-09-23_39.68,good,13901
BAIG_2025-10-10_34.94,good,16404
BAIG_2025-10-13_53.53,good,13171
BALY_2025-03-10_43.89,good,1821
BALY_2025-04-09_45.61,good,1693
BALY_2025-07-01_56.58,good,3054
BAOS_2025-01-06_44.62,good,93246
BAOS_2025-01-31_91.94,good,38803
BAOS_2025-03-17_55.70,good,7236
BAOS_2025-03-18_40.81,good,2612
BAOS_2025-04-21_62.35,good,2353
BAOS_2025-05-12_310.89,good,265479
BAOS_2025-06-04_85.23,good,404040
BAOS_2025-09-03_89.47,good,221101
BAOS_2025-10-09_57.70,good,442544
BBAI_2025-02-05_53.54,good,731625
BBAI_2025-02-07_37.44,good,616825
BBAI.WS_2025-01-16_47.74,good,1137
BBAI.WS_2025-02-04_39.34,good,1410
BBAI.WS_2025-02-05_54.84,good,7509
BBAI.WS_2025-02-07_58.05,good,5992
BBAI.WS_2025-02-12_38.15,good,3094
BBAI.WS_2025-04-25_60.87,good,1655
BBAI.WS_2025-05-14_36.46,good,945
BBAI.WS_2025-05-27_40.16,good,1877
BBAI.WS_2025-06-24_33.33,good,1715
