ticker,date,momentum_pct_str,source_folder,dest_dir
AIIO,2025-09-16,45.70,AIIO_trades_2025_09_16.parquet,AIIO_2025-09-16_45.70
AIIO,2025-09-18,40.41,AIIO_trades_2025_09_18.parquet,AIIO_2025-09-18_40.41
AIIO,2025-09-25,34.98,AIIO_trades_2025_09_25.parquet,AIIO_2025-09-25_34.98
AIIO,2025-09-30,37.31,AIIO_trades_2025_09_30.parquet,AIIO_2025-09-30_37.31
AIMD,2025-01-06,60.62,AIMD_trades_2025_01_06.parquet,AIMD_2025-01-06_60.62
AIMD,2025-01-10,74.49,AIMD_trades_2025_01_10.parquet,AIMD_2025-01-10_74.49
AIMD,2025-01-14,32.43,AIMD_trades_2025_01_14.parquet,AIMD_2025-01-14_32.43
AIMD,2025-05-28,31.80,AIMD_trades_2025_05_28.parquet,AIMD_2025-05-28_31.80
AIMD,2025-08-06,93.13,AIMD_trades_2025_08_06.parquet,AIMD_2025-08-06_93.13
AIOT,2025-02-10,38.74,AIOT_trades_2025_02_10.parquet,AIOT_2025-02-10_38.74
AIP,2025-08-05,51.22,AIP_trades_2025_08_05.parquet,AIP_2025-08-05_51.22
AIP,2025-10-06,32.79,AIP_trades_2025_10_06.parquet,AIP_2025-10-06_32.79
AIRE,2025-09-11,95.71,AIRE_trades_2025_09_11.parquet,AIRE_2025-09-11_95.71
AIRE,2025-09-12,46.34,AIRE_trades_2025_09_12.parquet,AIRE_2025-09-12_46.34
AIRE,2025-10-22,78.67,AIRE_trades_2025_10_22.parquet,AIRE_2025-10-22_78.67
AIRE,2025-10-23,47.14,AIRE_trades_2025_10_23.parquet,AIRE_2025-10-23_47.14
AIRG,2025-07-18,36.05,AIRG_trades_2025_07_18.parquet,AIRG_2025-07-18_36.05
AIRJW,2025-02-13,35.66,AIRJW_trades_2025_02_13.parquet,AIRJW_2025-02-13_35.66
AIRJW,2025-10-15,44.37,AIRJW_trades_2025_10_15.parquet,AIRJW_2025-10-15_44.37
AIRO,2025-07-11,31.53,AIRO_trades_2025_07_11.parquet,AIRO_2025-07-11_31.53
AIRS,2025-05-02,38.05,AIRS_trades_2025_05_02.parquet,AIRS_2025-05-02_38.05
AISPW,2025-01-14,37.40,AISPW_trades_2025_01_14.parquet,AISPW_2025-01-14_37.40
AISPW,2025-01-15,33.71,AISPW_trades_2025_01_15.parquet,AISPW_2025-01-15_33.71
AISPW,2025-02-26,48.43,AISPW_trades_2025_02_26.parquet,AISPW_2025-02-26_48.43
AISPW,2025-03-25,47.83,AISPW_trades_2025_03_25.parquet,AISPW_2025-03-25_47.83
AISPW,2025-05-19,41.18,AISPW_trades_2025_05_19.parquet,AISPW_2025-05-19_41.18
AISPW,2025-09-12,38.98,AISPW_trades_2025_09_12.parquet,AISPW_2025-09-12_38.98
AISPW,2025-10-06,43.18,AISPW_trades_2025_10_06.parquet,AISPW_2025-10-06_43.18
AISPW,2025-10-13,36.00,AISPW_trades_2025_10_13.parquet,AISPW_2025-10-13_36.00
AKA,2025-05-14,61.84,AKA_trades_2025_05_14.parquet,AKA_2025-05-14_61.84
AKA,2025-10-14,43.44,AKA_trades_2025_10_14.parquet,AKA_2025-10-14_43.44
AKAN,2025-08-01,50.88,AKAN_trades_2025_08_01.parquet,AKAN_2025-08-01_50.88
AKAN,2025-09-29,35.53,AKAN_trades_2025_09_29.parquet,AKAN_2025-09-29_35.53
AKAN,2025-10-01,113.32,AKAN_trades_2025_10_01.parquet,AKAN_2025-10-01_113.32
AKBA,2025-03-14,35.50,AKBA_trades_2025_03_14.parquet,AKBA_2025-03-14_35.50
AKRO,2025-01-27,123.07,AKRO_trades_2025_01_27.parquet,AKRO_2025-01-27_123.07
AKTX,2025-03-20,38.40,AKTX_trades_2025_03_20.parquet,AKTX_2025-03-20_38.40
AKTX,2025-09-24,60.42,AKTX_trades_2025_09_24.parquet,AKTX_2025-09-24_60.42
ALAB,2025-08-06,35.47,ALAB_trades_2025_08_06.parquet,ALAB_2025-08-06_35.47
ALAR,2025-06-09,43.65,ALAR_trades_2025_06_09.parquet,ALAR_2025-06-09_43.65
ALBT,2025-02-26,49.31,ALBT_trades_2025_02_26.parquet,ALBT_2025-02-26_49.31
ALBT,2025-03-14,30.44,ALBT_trades_2025_03_14.parquet,ALBT_2025-03-14_30.44
ALBT,2025-03-19,39.71,ALBT_trades_2025_03_19.parquet,ALBT_2025-03-19_39.71
ALBT,2025-04-16,34.57,ALBT_trades_2025_04_16.parquet,ALBT_2025-04-16_34.57
ALBT,2025-07-28,108.81,ALBT_trades_2025_07_28.parquet,ALBT_2025-07-28_108.81
ALDFW,2025-10-17,1253.08,ALDFW_trades_2025_10_17.parquet,ALDFW_2025-10-17_1253.08
ALDX,2025-04-04,40.85,ALDX_trades_2025_04_04.parquet,ALDX_2025-04-04_40.85
ALEC,2025-08-08,52.05,ALEC_trades_2025_08_08.parquet,ALEC_2025-08-08_52.05
ALLO,2025-02-14,49.29,ALLO_trades_2025_02_14.parquet,ALLO_2025-02-14_49.29
ALLO,2025-02-18,84.31,ALLO_trades_2025_02_18.parquet,ALLO_2025-02-18_84.31
ALLO,2025-02-19,33.10,ALLO_trades_2025_02_19.parquet,ALLO_2025-02-19_33.10
ALLR,2025-01-08,70.30,ALLR_trades_2025_01_08.parquet,ALLR_2025-01-08_70.30
ALLR,2025-01-23,48.51,ALLR_trades_2025_01_23.parquet,ALLR_2025-01-23_48.51
ALLR,2025-01-27,46.32,ALLR_trades_2025_01_27.parquet,ALLR_2025-01-27_46.32
ALLR,2025-08-26,149.65,ALLR_trades_2025_08_26.parquet,ALLR_2025-08-26_149.65
ALMS,2025-03-25,50.99,ALMS_trades_2025_03_25.parquet,ALMS_2025-03-25_50.99
ALMS,2025-03-26,51.00,ALMS_trades_2025_03_26.parquet,ALMS_2025-03-26_51.00
ALMS,2025-04-02,43.92,ALMS_trades_2025_04_02.parquet,ALMS_2025-04-02_43.92
ALMU,2025-04-28,30.34,ALMU_trades_2025_04_28.parquet,ALMU_2025-04-28_30.34
ALMU,2025-06-25,32.09,ALMU_trades_2025_06_25.parquet,ALMU_2025-06-25_32.09
ALUR,2025-01-14,41.41,ALUR_trades_2025_01_14.parquet,ALUR_2025-01-14_41.41
ALUR,2025-01-24,354.32,ALUR_trades_2025_01_24.parquet,ALUR_2025-01-24_354.32
ALUR,2025-03-21,83.33,ALUR_trades_2025_03_21.parquet,ALUR_2025-03-21_83.33
