dest_dir,path,schema_fingerprint,schema_ok,timestamp_col_used,n_trades,unit_guess,unit_ok,pct_whole_second,granularity_ok,rows_ok,min_ts,max_ts,error,PASS
ABEO_2025-04-30_38.18,data/filtered/ABEO_2025-04-30_38.18/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,89936,ns,True,0.0007004981320049813,True,True,1746000066124000000,1746057475378000000,,True
ABLLL_2025-01-07_31.62,data/filtered/ABLLL_2025-01-07_31.62/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,189,ns,True,0.0,True,True,1736255350244000000,1736289183272000000,,True
ABLV_2025-01-08_33.09,data/filtered/ABLV_2025-01-08_33.09/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,85,ns,True,0.0,True,True,1736338756428000000,1736379353232000000,,True
ABLV_2025-02-11_70.44,data/filtered/ABLV_2025-02-11_70.44/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,6707,ns,True,0.0016400775309378262,True,True,1739284200822000000,1739321998428000000,,True
ABLV_2025-03-07_138.55,data/filtered/ABLV_2025-03-07_138.55/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,32527,ns,True,0.0008300796261567313,True,True,1741350480471000000,1741395597820000000,,True
ABLV_2025-03-19_40.62,data/filtered/ABLV_2025-03-19_40.62/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1015,ns,True,0.0,True,True,1742384455893000000,1742426312984000000,,True
ABLV_2025-09-10_70.21,data/filtered/ABLV_2025-09-10_70.21/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,2444,ns,True,0.0008183306055646482,True,True,1757496914279000000,1757548502707000000,,True
ABP_2025-05-15_130.36,data/filtered/ABP_2025-05-15_130.36/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,437538,ns,True,0.0009599166243846248,True,True,1747296126788000000,1747353554606000000,,True
ABP_2025-05-19_43.43,data/filtered/ABP_2025-05-19_43.43/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,149177,ns,True,0.0010591445061906325,True,True,1747641600028000000,1747699196296000000,,True
ABP_2025-05-28_30.41,data/filtered/ABP_2025-05-28_30.41/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,14632,ns,True,0.0014352104975396392,True,True,1748419262529000000,1748476794846000000,,True
ABP_2025-07-23_32.61,data/filtered/ABP_2025-07-23_32.61/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,23161,ns,True,0.0007339924873710116,True,True,1753257600031000000,1753315195205000000,,True
ABP_2025-07-28_44.26,data/filtered/ABP_2025-07-28_44.26/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,48443,ns,True,0.0009702124145903433,True,True,1753689600180000000,1753747196423000000,,True
ABSI_2025-01-08_37.46,data/filtered/ABSI_2025-01-08_37.46/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,289986,ns,True,0.0017793962467153586,True,True,1736327708739000000,1736384399864000000,,True
ABSI_2025-01-22_36.65,data/filtered/ABSI_2025-01-22_36.65/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,92205,ns,True,0.0010953852827937747,True,True,1737536400019000000,1737593974700000000,,True
ABTS_2025-04-14_33.01,data/filtered/ABTS_2025-04-14_33.01/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,721,ns,True,0.0,True,True,1744625021870000000,1744670994126000000,,True
ABTS_2025-04-25_30.27,data/filtered/ABTS_2025-04-25_30.27/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,470,ns,True,0.0,True,True,1745582400678000000,1745625587086000000,,True
ABTS_2025-05-09_303.43,data/filtered/ABTS_2025-05-09_303.43/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,58834,ns,True,0.0009178366250807357,True,True,1746792878369000000,1746835194543000000,,True
ABTS_2025-07-02_36.57,data/filtered/ABTS_2025-07-02_36.57/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1550,ns,True,0.0012903225806451613,True,True,1751454383533000000,1751500405412000000,,True
ABTS_2025-07-11_36.02,data/filtered/ABTS_2025-07-11_36.02/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1466,ns,True,0.0006821282401091405,True,True,1752223926477000000,1752278066978000000,,True
